TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 19d9f1d4e29eba6388ab9ad9a3e976c6
ERRORS:
**** Item %BULLET for user (JINGOWAWA) is repeated in want list for 1314.
**** Item %BULLET for user (JINGOWAWA) is repeated in want list for 1317.
**** Item %BULLET for user (JINGOWAWA) is repeated in want list for 1322.
**** Item %ICAION for user (HYNIKS) is repeated in want list for 1769.
**** Item %TSUKUYUMI_FULL_MOON_DOWN_SECOND_EDITION____TSUKUYUMI_SUNRISE_KINGDOM___TSUKUYUMI_CHRONOMASTERS___TSUKUYUMI_SENTINELS___TSUKUYUMI_FULL_MOON_DOWN_FIREBORN_EXPANSION___TSUKUYUMI_FULL_MOON_DOWN_LORDS_OF_THE_LOST_SEA_EXPANSION___TSUKUYUMI_FULL_MOON_DOWN_SENTINELS_EXPANSION for user (HYNIKS) is repeated in want list for 1771.
**** Item 2042 is repeated in want list for 245.
**** Item 2042 is repeated in want list for 2523.
**** Item 2042 is repeated in want list for 513.
**** Item 2042 is repeated in want list for 520.
**** Item 217 is repeated in want list for 2523.
**** Item 217 is repeated in want list for 513.
**** Item 217 is repeated in want list for 520.
**** Item 2427 is repeated in want list for 2068.
**** Item 2873 is repeated in want list for 2806.
**** Item 2873 is repeated in want list for 2809.
**** Item 2873 is repeated in want list for 2815.
**** Item 2873 is repeated in want list for 2816.
**** Item 2873 is repeated in want list for 2821.
**** Item 2873 is repeated in want list for 2831.
**** Item 2934 is repeated in want list for 2379.
**** Item 2934 is repeated in want list for 2380.
**** Item 2934 is repeated in want list for 2382.
**** Item 2934 is repeated in want list for 2383.
**** Item 2934 is repeated in want list for 2384.
**** Item 2934 is repeated in want list for 2385.
**** Item 2934 is repeated in want list for 2386.
**** Item 2934 is repeated in want list for 2388.
**** Item 2934 is repeated in want list for 2392.
**** Item 2934 is repeated in want list for 2395.
**** Item 2934 is repeated in want list for 2406.
**** Item 2934 is repeated in want list for 2407.
**** Item 2934 is repeated in want list for 2410.
**** Item 2934 is repeated in want list for 2412.
**** Item 2934 is repeated in want list for 2414.
**** Item 2934 is repeated in want list for 2415.
**** Item 2934 is repeated in want list for 2419.
**** Item 2934 is repeated in want list for 2423.
**** Item 834 is repeated in want list for 2042.
**** Item 96 is repeated in want list for 2074.
**** Unknown item %7_WONDERS_DUEL for user (PIOTREKPIOTREK) (1 occurrence)
**** Unknown item %HEGEMONY_LEAD_YOUR_CLASS_TO_VICTORY_HEGEMONY_LEAD_YOUR_CLASS_TO_VICTORY_CRISIS_CONTROL_HEGEMONY_LEAD_YOUR_CLASS_TO_VICTORY_HISTORICAL_EVENTS for user (YAVI) (4 occurrences)
**** Unknown item %HIGH_FRONTIER_4_ALL for user (YAVI) (2 occurrences)
**** Unknown item %KNOCKDOWN_VOLUME_II_KNOCKDOWN_VOLUME_III for user (MEFIUG) (19 occurrences)
**** Unknown item %WAR_CHEST for user (YOSEK) (1 occurrence)
**** Unknown item 1146, (1 occurrence)
**** Unknown item 12214 (1 occurrence)
**** Unknown item 12230 (1 occurrence)
**** Unknown item 1310, (1 occurrence)
**** Unknown item 1313, (4 occurrences)
**** Unknown item 1372, (4 occurrences)
**** Unknown item 1375, (3 occurrences)
**** Unknown item 1404209 (1 occurrence)
**** Unknown item 1487, (3 occurrences)
**** Unknown item 154 (1 occurrence)
**** Unknown item 155 (3 occurrences)
**** Unknown item 156 (4 occurrences)
**** Unknown item 158 (3 occurrences)
**** Unknown item 159 (1 occurrence)
**** Unknown item 160 (2 occurrences)
**** Unknown item 161 (10 occurrences)
**** Unknown item 1615, (1 occurrence)
**** Unknown item 162 (12 occurrences)
**** Unknown item 1623, (2 occurrences)
**** Unknown item 163 (36 occurrences)
**** Unknown item 1641, (2 occurrences)
**** Unknown item 1658, (4 occurrences)
**** Unknown item 1688, (2 occurrences)
**** Unknown item 1698, (1 occurrence)
**** Unknown item 1753, (1 occurrence)
**** Unknown item 1875, (3 occurrences)
**** Unknown item 1956, (4 occurrences)
**** Unknown item 2019 (10 occurrences)
**** Unknown item 204, (4 occurrences)
**** Unknown item 2043 (15 occurrences)
**** Unknown item 2046, (5 occurrences)
**** Unknown item 2069, (1 occurrence)
**** Unknown item 208, (1 occurrence)
**** Unknown item 2089 (3 occurrences)
**** Unknown item 2092 (2 occurrences)
**** Unknown item 2102, (3 occurrences)
**** Unknown item 211, (2 occurrences)
**** Unknown item 2149, (3 occurrences)
**** Unknown item 2185 (1 occurrence)
**** Unknown item 2187 (1 occurrence)
**** Unknown item 2190 (25 occurrences)
**** Unknown item 2215, (1 occurrence)
**** Unknown item 237, (3 occurrences)
**** Unknown item 2401 (55 occurrences)
**** Unknown item 2434 (1 occurrence)
**** Unknown item 244 (29 occurrences)
**** Unknown item 2440 (40 occurrences)
**** Unknown item 2448 (2 occurrences)
**** Unknown item 2457 (29 occurrences)
**** Unknown item 2459 (2 occurrences)
**** Unknown item 2479 (40 occurrences)
**** Unknown item 24992286 (1 occurrence)
**** Unknown item 266, (1 occurrence)
**** Unknown item 2713 (5 occurrences)
**** Unknown item 2715 (17 occurrences)
**** Unknown item 2730, (2 occurrences)
**** Unknown item 2748 (9 occurrences)
**** Unknown item 2765 (3 occurrences)
**** Unknown item 2947, (1 occurrence)
**** Unknown item 3066 (38 occurrences)
**** Unknown item 386, (4 occurrences)
**** Unknown item 390, (3 occurrences)
**** Unknown item 430 (12 occurrences)
**** Unknown item 560, (2 occurrences)
**** Unknown item 631 (1 occurrence)
**** Unknown item 638 (1 occurrence)
**** Unknown item 660, (4 occurrences)
**** Unknown item 681, (3 occurrences)
**** Unknown item 755, (4 occurrences)
**** Unknown item 781 (58 occurrences)
**** Unknown item 782 (56 occurrences)
**** Unknown item 844 (1 occurrence)
**** Unknown item 863, (3 occurrences)
**** Unknown item LOST_RUINS_OF_ARNAK (6 occurrences)
**** Unknown item THESAUROS (1 occurrence)

TRADE LOOPS (498 total trades):

(DOMBAS) 2298          receives (LISEK2000) 1944
(QBALDUS1) 1426                    does not trade
(QBALDUS1) 1427        receives (RODAN77) 1462         and sends to (BARTXX86) 675
(QRZY88) 2486                      does not trade
(QRZY88) 2491          receives (SIPIO) 2961           and sends to (BAAKA) 629
(QRZY88) 2497                      does not trade
(QRZY88) 2501                      does not trade
(QRZY88) 2503                      does not trade
(QRZY88) 2504                      does not trade
(QRZY88) 2506                      does not trade
(QRZY88) 2507                      does not trade
(QRZY88) 2508          receives (PANCOR) 3051          and sends to (RYSKAL) 1546
(QRZY88) 2509          receives (MIZIO) 2604           and sends to (GINET1) 2944
(QRZY88) 2511                      does not trade
(QRZY88) 2517                      does not trade
(QRZY88) 2947                      does not trade
(RADEKB_B) 796                     does not trade
(RADEKB_B) 798                     does not trade
(RADEKB_B) 801                     does not trade
(RAFAL1991) 695                    does not trade
(RAFAL1991) 696        receives (SWIROFF) 1852         and sends to (MARBEL) 431
(RAFAL1991) 697        receives (KONRADSTPN) 67        and sends to (SWIROFF) 476
(RAFAL1991) 698                    does not trade
(RAFAL1991) 699                    does not trade
(RAFAL1991) 700                    does not trade
(RAFAL1991) 701                    does not trade
(RAFAL1991) 702                    does not trade
(RAFAL1991) 703        receives (JAKUBWAKIEC) 654      and sends to (CAFFREYRLS) 2051
(RAFAL1991) 704                    does not trade
(RAFAL1991) 705                    does not trade
(RAFAL1991) 706                    does not trade
(RAFAL1991) 707                    does not trade
(RAFAL1991) 708                    does not trade
(RAFAL1991) 709        receives (SIRIUS91) 2519        and sends to (VOYDEN) 2716
(RAFAL1991) 710                    does not trade
(RAFAL1991) 711                    does not trade
(RAFAL1991) 712                    does not trade
(RAFAL1991) 713                    does not trade
(RAFAL1991) 714                    does not trade
(RAFAL1991) 715                    does not trade
(RAFAL1991) 716                    does not trade
(RAFAL1991) 717                    does not trade
(RAFAL1991) 718                    does not trade
(RAFAL1991) 719                    does not trade
(RAFAL1991) 720                    does not trade
(RAFAL1991) 721        receives (PIOTR1) 1570          and sends to (PATRYKGALKA) 265
(RAFAL1991) 722                    does not trade
(RAFAL1991) 723                    does not trade
(RAFAL1991) 724                    does not trade
(RAFAL1991) 725        receives (ANOPTICHTYS) 309      and sends to (MIZIO) 2606
(RAFAL1991) 726                    does not trade
(RAFAL1991) 727                    does not trade
(RAFMIX) 1576                      does not trade
(RAFMIX) 1577                      does not trade
(RAFMIX) 1578                      does not trade
(RAFMIX) 1581                      does not trade
(RAFMIX) 1582                      does not trade
(RAFMIX) 1583                      does not trade
(RAFMIX) 1584                      does not trade
(RAFMIX) 1585                      does not trade
(RAFMIX) 1586                      does not trade
(RAFMIX) 1587                      does not trade
(RAFMIX) 1589                      does not trade
(RAFMIX) 1688                      does not trade
(RAISTLINJEDYNY) 383   receives (MONIIALEX) 1799       and sends to (EMGIEER) 1845
(RAISTLINJEDYNY) 469   receives (MARMILCZ) 247         and sends to (FIZOLOF) 784
(RAISTLINJEDYNY) 800               does not trade
(RAPHAELL7) 975        receives (BAAKA) 1046           and sends to (MIOTELKA) 2552
(RAPHAELL7) 976                    does not trade
(RAPHAELL7) 977                    does not trade
(RAPHAELL7) 978                    does not trade
(RAPHAELL7) 979                    does not trade
(RAPHAELL7) 980                    does not trade
(RAPHAELL7) 981                    does not trade
(RAPHAELL7) 982                    does not trade
(RAPHAELL7) 983                    does not trade
(RAPHAELL7) 984                    does not trade
(RAPHAELL7) 986                    does not trade
(RAPHAELL7) 987                    does not trade
(RAPHAELL7) 988                    does not trade
(RAPHAELL7) 989                    does not trade
(RAPHAELL7) 990                    does not trade
(REKAWIAN) 1502        receives (LISEK2000) 1909       and sends to (AMACHNO) 600
(REKAWIAN) 1504        receives (CRAZZIE) 967          and sends to (STACHUSTACH187) 536
(REKAWIAN) 1601        receives (BORYSX) 1640          and sends to (STACHUSTACH187) 523
(REKAWIAN) 1602                    does not trade
(REKAWIAN) 1603        receives (DZIUM8) 1693          and sends to (OSTRY) 2829
(REKAWIAN) 1604        receives (BANANEQ) 1328         and sends to (WINSTER) 1005
(REKAWIAN) 1814        receives (MANKOSLAW) 498        and sends to (ZIEZIOR) 516
(RENEG8D) 1802                     does not trade
(RENEG8D) 1803                     does not trade
(RENEG8D) 1804                     does not trade
(RENEG8D) 1805                     does not trade
(RENEG8D) 1806                     does not trade
(RENEG8D) 1807         receives (BARTXX86) 866         and sends to (BISTIA) 1457
(RENEG8D) 1808                     does not trade
(RENEG8D) 1809                     does not trade
(RENEG8D) 1810                     does not trade
(RENEG8D) 1811                     does not trade
(RENEG8D) 2513                     does not trade
(RENEG8D) 2520         receives (MEFIUG) 1736          and sends to (MAJZOWNIK) 1885
(RODAN77) 1462         receives (UNKNOWN0) 843         and sends to (QBALDUS1) 1427
(RODAN77) 1463                     does not trade
(RODAN77) 1464                     does not trade
(RODAN77) 1465                     does not trade
(RODAN77) 1466                     does not trade
(RODAN77) 1467                     does not trade
(RODAN77) 1468                     does not trade
(RODAN77) 1469                     does not trade
(RODAN77) 1470                     does not trade
(RODAN77) 1471                     does not trade
(RODAN77) 2030                     does not trade
(ROSETA) 1626                      does not trade
(ROSETA) 1631                      does not trade
(ROSETA) 1633          receives (PIOTR1) 642           and sends to (SWIROFF) 1850
(ROSETA) 1636          receives (PANCOR) 2679          and sends to (EQUILIBRIUMPL) 368
(ROSETA) 1641                      does not trade
(ROSETA) 1649                      does not trade
(ROSETA) 1654                      does not trade
(ROSETA) 1655                      does not trade
(ROSETA) 1656                      does not trade
(ROSETA) 1657                      does not trade
(ROSETA) 1658          receives (CAFFREYRLS) 2046      and sends to (OSTRY) 2862
(ROSETA) 1659                      does not trade
(ROSETA) 1660                      does not trade
(ROSETA) 1661                      does not trade
(ROSETA) 1667                      does not trade
(ROSETA) 1668                      does not trade
(ROSETA) 1669                      does not trade
(ROSETA) 1670                      does not trade
(ROSETA) 1671                      does not trade
(ROSETA) 1672                      does not trade
(ROSETA) 1673                      does not trade
(ROSETA) 1770                      does not trade
(ROSETA) 1772                      does not trade
(ROSETA) 1778                      does not trade
(ROSETA) 1781                      does not trade
(ROSETA) 1782                      does not trade
(ROSETA) 1783                      does not trade
(ROSETA) 1785                      does not trade
(ROSETA) 1786                      does not trade
(ROSETA) 1793                      does not trade
(ROSETA) 1796                      does not trade
(ROSETA) 1800          receives (STACHUSTACH187) 525   and sends to (SCRABER) 1400
(ROSETA) 1812                      does not trade
(ROSETA) 1813                      does not trade
(ROSETA) 1822                      does not trade
(ROSETA) 1824                      does not trade
(ROSETA) 1831                      does not trade
(RUDOWLOSA) 1525                   does not trade
(RUSTY3000) 245                    does not trade
(RUSTY3000) 2523                   does not trade
(RUSTY3000) 513                    does not trade
(RUSTY3000) 520        receives (WINSTER) 1005         and sends to (ZERTHIN) 1745
(RUTRA1992) 2366                   does not trade
(RUTRA1992) 2368                   does not trade
(RUTRA1992) 2370                   does not trade
(RUTRA1992) 2371                   does not trade
(RUTRA1992) 2372                   does not trade
(RUTRA1992) 2375                   does not trade
(RUTRA1992) 2378                   does not trade
(RUTRA1992) 2391                   does not trade
(RUTRA1992) 2396                   does not trade
(RUTRA1992) 2421       receives (FYEI) 775             and sends to (MORKRET) 3010
(RUTRA1992) 2425                   does not trade
(RUTRA1992) 2430                   does not trade
(RUTRA1992) 2449                   does not trade
(RUTRA1992) 2451       receives (KLANCYG) 511          and sends to (DZANOMARO) 643
(RUTRA1992) 2455                   does not trade
(RUTRA1992) 2489                   does not trade
(RYSKAL) 1534                      does not trade
(RYSKAL) 1535                      does not trade
(RYSKAL) 1536                      does not trade
(RYSKAL) 1537                      does not trade
(RYSKAL) 1538                      does not trade
(RYSKAL) 1539                      does not trade
(RYSKAL) 1541          receives (KARTMAN7) 3059        and sends to (UNKNOWN0) 2661
(RYSKAL) 1542                      does not trade
(RYSKAL) 1543                      does not trade
(RYSKAL) 1544                      does not trade
(RYSKAL) 1545                      does not trade
(RYSKAL) 1546          receives (QRZY88) 2508          and sends to (CAFFREYRLS) 2066
(RYSKAL) 1547                      does not trade
(RYSKAL) 1548                      does not trade
(RYSKAL) 1549                      does not trade
(RYSKAL) 1550                      does not trade
(RYSKAL) 1551                      does not trade
(RYSKAL) 1552                      does not trade
(RYSKAL) 1553                      does not trade
(RYSKAL) 1554                      does not trade
(RYSKAL) 1555          receives (CHARLIEVEGAN) 2926    and sends to (HAPPOSAI) 733
(RYSKAL) 1556                      does not trade
(RYSKAL) 1557                      does not trade
(RYSKAL) 1558                      does not trade
(RYSKAL) 1559          receives (ZIELONESZKIELKO) 851  and sends to (DETRYTUS) 1285
(RYSKAL) 1560                      does not trade
(RYSKAL) 1561          receives (SVFFF) 650            and sends to (LISEK2000) 1909
(RYSKAL) 1562                      does not trade
(RYSKAL) 1563                      does not trade
(RYSKAL) 1564                      does not trade
(RYSKAL) 1798                      does not trade
(RYSKAL) 2528                      does not trade
(RYSKAL) 2535                      does not trade
(SATINO4) 1411         receives (MONIIALEX) 1794       and sends to (HAPPOSAI) 735
(SATINO4) 1425                     does not trade
(SATINO4) 2374                     does not trade
(SATINO4) 534                      does not trade
(SATINO4) 537                      does not trade
(SATINO4) 539                      does not trade
(SATINO4) 544                      does not trade
(SATINO4) 548                      does not trade
(SATINO4) 553                      does not trade
(SATINO4) 560          receives (ZABOWSKI) 875         and sends to (ASYMETRI) 1335
(SCRABER) 1379                     does not trade
(SCRABER) 1380                     does not trade
(SCRABER) 1381         receives (OSTRY) 2862           and sends to (VOYDEN) 2700
(SCRABER) 1382                     does not trade
(SCRABER) 1383                     does not trade
(SCRABER) 1384                     does not trade
(SCRABER) 1385                     does not trade
(SCRABER) 1386         receives (BADO666) 731          and sends to (SVVITALEK) 2102
(SCRABER) 1387                     does not trade
(SCRABER) 1388                     does not trade
(SCRABER) 1390                     does not trade
(SCRABER) 1391                     does not trade
(SCRABER) 1392         receives (GARG) 2208            and sends to (MAGUN071) 2546
(SCRABER) 1393                     does not trade
(SCRABER) 1394                     does not trade
(SCRABER) 1396                     does not trade
(SCRABER) 1397                     does not trade
(SCRABER) 1398                     does not trade
(SCRABER) 1399         receives (ANOPTICHTYS) 340      and sends to (VAGABOOOND) 55
(SCRABER) 1400         receives (ROSETA) 1800          and sends to (KONTRABAS) 1486
(SCRABER) 1401                     does not trade
(SCRABER) 1402         receives (MAGUN071) 1497        and sends to (BRZECHA) 635
(SCRABER) 1403                     does not trade
(SCRABER) 1404                     does not trade
(SCRABER) 1405         receives (LUKI364) 764          and sends to (ZABOWSKI) 934
(SCRABER) 1406                     does not trade
(SCRABER) 1407                     does not trade
(SCRABER) 1408                     does not trade
(SCRABER) 1409                     does not trade
(SCRABER) 1718                     does not trade
(SCRABER) 2292         receives (LUKI364) 761          and sends to (KONRADSTPN) 133
(SIKOR) 839                        does not trade
(SIPIO) 2034           receives (PANCOR) 1168          and sends to (TOPBGG) 139
(SIPIO) 2959                       does not trade
(SIPIO) 2960                       does not trade
(SIPIO) 2961           receives (BAAKA) 629            and sends to (QRZY88) 2491
(SIPIO) 2963                       does not trade
(SIPIO) 2965                       does not trade
(SIPIO) 2967                       does not trade
(SIPIO) 2968                       does not trade
(SIPIO) 2970                       does not trade
(SIPIO) 2972                       does not trade
(SIPIO) 2978                       does not trade
(SIPIO) 2981                       does not trade
(SIRIUS91) 2514        receives (UNKNOWN0) 2661        and sends to (CAFFREYRLS) 2055
(SIRIUS91) 2516                    does not trade
(SIRIUS91) 2519        receives (BORYSX) 1629          and sends to (RAFAL1991) 709
(SIRIUS91) 2571                    does not trade
(SPRYSIALDO) 164       receives (MAJZOWNIK) 1919       and sends to (MIZIO) 2609
(SPRYSIALDO) 165                   does not trade
(SPRYSIALDO) 166                   does not trade
(SPRYSIALDO) 167                   does not trade
(STACHU772) 521        receives (KEROVAN14) 233        and sends to (GODUNOW) 204
(STACHUSTACH187) 1494              does not trade
(STACHUSTACH187) 1495              does not trade
(STACHUSTACH187) 1498  receives (WOJCIECHS) 579        and sends to (KONTRABAS) 1485
(STACHUSTACH187) 1521              does not trade
(STACHUSTACH187) 523   receives (REKAWIAN) 1601        and sends to (PATRYKGALKA) 2285
(STACHUSTACH187) 524               does not trade
(STACHUSTACH187) 525   receives (LUKI364) 766          and sends to (ROSETA) 1800
(STACHUSTACH187) 527               does not trade
(STACHUSTACH187) 528               does not trade
(STACHUSTACH187) 529               does not trade
(STACHUSTACH187) 530               does not trade
(STACHUSTACH187) 531               does not trade
(STACHUSTACH187) 532               does not trade
(STACHUSTACH187) 536   receives (REKAWIAN) 1504        and sends to (GRZECHOO104) 2717
(STACHUSTACH187) 738               does not trade
(STACHUSTACH187) 739   receives (LISEK2000) 1961       and sends to (KUBAP) 2246
(STASZEK) 2585                     does not trade
(STASZEK) 2586                     does not trade
(SVFFF) 649                        does not trade
(SVFFF) 650            receives (KUBAP) 3025           and sends to (RYSKAL) 1561
(SVFFF) 651                        does not trade
(SVVITALEK) 2094                   does not trade
(SVVITALEK) 2095                   does not trade
(SVVITALEK) 2096                   does not trade
(SVVITALEK) 2097                   does not trade
(SVVITALEK) 2098                   does not trade
(SVVITALEK) 2099                   does not trade
(SVVITALEK) 2100                   does not trade
(SVVITALEK) 2101                   does not trade
(SVVITALEK) 2102       receives (SCRABER) 1386         and sends to (PIOTRSZYJKA) 1705
(SVVITALEK) 2104                   does not trade
(SVVITALEK) 2164                   does not trade
(SVVITALEK) 2165       receives (JAKUBWAKIEC) 653      and sends to (ASTRIELL88) 1662
(SWIROFF) 1848         receives (HAWKU93) 1044         and sends to (JAKUBWAKIEC) 654
(SWIROFF) 1849                     does not trade
(SWIROFF) 1850         receives (ROSETA) 1633          and sends to (KLANCYG) 507
(SWIROFF) 1852         receives (DETRYTUS) 1285        and sends to (RAFAL1991) 696
(SWIROFF) 2310                     does not trade
(SWIROFF) 2312                     does not trade
(SWIROFF) 470                      does not trade
(SWIROFF) 471                      does not trade
(SWIROFF) 472                      does not trade
(SWIROFF) 473                      does not trade
(SWIROFF) 474                      does not trade
(SWIROFF) 475          receives (MAGICPEPE) 186        and sends to (MAGICPEPE) 186
(SWIROFF) 476          receives (RAFAL1991) 697        and sends to (KMET) 1982
(SWIROFF) 477                      does not trade
(SWIROFF) 478                      does not trade
(SWIROFF) 479                      does not trade
(SWIROFF) 494                      does not trade
(SWIROFF) 496                      does not trade
(SYDONIAA) 1           receives (AMACHNO) 598          and sends to (GROR) 2422
(SYDONIAA) 10                      does not trade
(SYDONIAA) 11                      does not trade
(SYDONIAA) 12          receives (HAPPOSAI) 737         and sends to (KUBAP) 2223
(SYDONIAA) 13                      does not trade
(SYDONIAA) 14                      does not trade
(SYDONIAA) 15                      does not trade
(SYDONIAA) 16                      does not trade
(SYDONIAA) 17                      does not trade
(SYDONIAA) 18                      does not trade
(SYDONIAA) 19                      does not trade
(SYDONIAA) 2                       does not trade
(SYDONIAA) 20                      does not trade
(SYDONIAA) 21                      does not trade
(SYDONIAA) 23                      does not trade
(SYDONIAA) 24                      does not trade
(SYDONIAA) 25                      does not trade
(SYDONIAA) 26                      does not trade
(SYDONIAA) 27                      does not trade
(SYDONIAA) 28                      does not trade
(SYDONIAA) 29                      does not trade
(SYDONIAA) 3                       does not trade
(SYDONIAA) 4                       does not trade
(SYDONIAA) 5                       does not trade
(SYDONIAA) 6                       does not trade
(SYDONIAA) 7                       does not trade
(SYDONIAA) 8           receives (MAMCZAR63) 1690       and sends to (MISIENCJUSZ) 438
(SYDONIAA) 9                       does not trade
(SZAFARCZYK5) 1337                 does not trade
(SZAFARCZYK5) 2991                 does not trade
(SZAKET) 1689          receives (HYNIKS) 1775          and sends to (ZABOWSKI) 876
(SZEJKUU) 257                      does not trade
(SZEJKUU) 258                      does not trade
(SZEJKUU) 259                      does not trade
(SZEWSTER) 758         receives (KUBAP) 2223           and sends to (ANOPTICHTYS) 315
(SZEWSTER) 759                     does not trade
(TAJKOON) 1378                     does not trade
(TAJKOON) 609                      does not trade
(TAJKOON) 610                      does not trade
(TAJKOON) 611                      does not trade
(TAJKOON) 612                      does not trade
(TAJKOON) 613                      does not trade
(TAJKOON) 614                      does not trade
(TAJKOON) 616                      does not trade
(TAJKOON) 618                      does not trade
(TAJKOON) 621                      does not trade
(TAJKOON) 623                      does not trade
(TAJKOON) 639                      does not trade
(TAJKOON) 794                      does not trade
(TEDOKA) 2487                      does not trade
(TEDOKA) 2490                      does not trade
(TEDOKA) 2492                      does not trade
(TEDOKA) 2493                      does not trade
(TEDOKA) 2495          receives (PIOTR1) 788           and sends to (PATRYKGALKA) 260
(TENCZ) 1625           receives (ZABOWSKI) 924         and sends to (MARMILCZ) 253
(TENCZ) 1627           receives (WOOL_F) 2814          and sends to (PATRYKGALKA) 298
(TENCZ) 1630                       does not trade
(TENCZ) 1644                       does not trade
(TH13TEEN) 195                     does not trade
(TH13TEEN) 196                     does not trade
(TH13TEEN) 197                     does not trade
(TH13TEEN) 198         receives (KUBAP) 2221           and sends to (LISEK2000) 1961
(TH13TEEN) 199         receives (PANCOR) 1211          and sends to (LYNX32) 2911
(TH13TEEN) 348         receives (HAPPOSAI) 733         and sends to (ANOPTICHTYS) 333
(TOMAX22) 2294                     does not trade
(TOMAX22) 2295                     does not trade
(TOMAX22) 2296                     does not trade
(TOPBGG) 135           receives (PATRYKGALKA) 265      and sends to (KATSEK) 1420
(TOPBGG) 136                       does not trade
(TOPBGG) 1361          receives (EWAO) 591             and sends to (WUDUPIPOL) 3044
(TOPBGG) 1362          receives (BARTXX86) 681         and sends to (LADZIK) 2802
(TOPBGG) 1363                      does not trade
(TOPBGG) 1364                      does not trade
(TOPBGG) 1365                      does not trade
(TOPBGG) 137           receives (MELUSINA) 2562        and sends to (PROBBI) 1421
(TOPBGG) 138                       does not trade
(TOPBGG) 139           receives (SIPIO) 2034           and sends to (INZI21) 2576
(TOPBGG) 140                       does not trade
(TOPBGG) 141                       does not trade
(TOPBGG) 142                       does not trade
(TOPBGG) 143                       does not trade
(TOPBGG) 144           receives (KDSZ) 620             and sends to (GROR) 2379
(TOPBGG) 145                       does not trade
(TOPBGG) 146                       does not trade
(TOPBGG) 147                       does not trade
(TOPBGG) 148                       does not trade
(TOPBGG) 149                       does not trade
(TOPBGG) 150                       does not trade
(TOPBGG) 2341                      does not trade
(TOPBGG) 2353          receives (BOLO7) 381            and sends to (KROMKA) 863
(TRINGA) 2106                      does not trade
(TRINGA) 2107                      does not trade
(TRINGA) 2108                      does not trade
(TRINGA) 2109                      does not trade
(TRINGA) 2110                      does not trade
(TRINGA) 2111                      does not trade
(TRINGA) 2112                      does not trade
(TRINGA) 2114                      does not trade
(TRINGA) 2115                      does not trade
(TRINGA) 2116                      does not trade
(TRINGA) 2117                      does not trade
(TRINGA) 2118                      does not trade
(TRINGA) 2119                      does not trade
(TRINGA) 2120                      does not trade
(TRINGA) 2121                      does not trade
(TRINGA) 2122                      does not trade
(TRINGA) 2123                      does not trade
(TRINGA) 2124                      does not trade
(TRINGA) 2125                      does not trade
(TRINGA) 2127                      does not trade
(TRINGA) 2128                      does not trade
(TRINGA) 2129                      does not trade
(TRINGA) 2130                      does not trade
(TRINGA) 2131                      does not trade
(TRINGA) 2132                      does not trade
(TRINGA) 2133                      does not trade
(TRINGA) 2134                      does not trade
(TRINGA) 2135                      does not trade
(TRINGA) 2136                      does not trade
(TRINGA) 2137                      does not trade
(TRINGA) 2138                      does not trade
(TRINGA) 2139                      does not trade
(TRINGA) 2140                      does not trade
(TRINGA) 2141                      does not trade
(TRINGA) 2142                      does not trade
(TRINGA) 2143                      does not trade
(TRINGA) 2144                      does not trade
(TRINGA) 2145                      does not trade
(TRINGA) 2146                      does not trade
(TRINGA) 2147                      does not trade
(TRINGA) 2148                      does not trade
(TRINGA) 2149                      does not trade
(TRINGA) 2150                      does not trade
(TRINGA) 2151                      does not trade
(TRINGA) 2152                      does not trade
(TRINGA) 2153                      does not trade
(TRINGA) 2373                      does not trade
(TRINGA) 2376                      does not trade
(TRINGA) 2377                      does not trade
(UNKNOWN0) 1455                    does not trade
(UNKNOWN0) 1613        receives (GRZECHOO104) 2717     and sends to (GARG) 2236
(UNKNOWN0) 2056                    does not trade
(UNKNOWN0) 2661        receives (RYSKAL) 1541          and sends to (SIRIUS91) 2514
(UNKNOWN0) 834                     does not trade
(UNKNOWN0) 835                     does not trade
(UNKNOWN0) 838                     does not trade
(UNKNOWN0) 840                     does not trade
(UNKNOWN0) 841         receives (ASYMETRI) 1335        and sends to (MELUSINA) 173
(UNKNOWN0) 842         receives (WINSTER) 1013         and sends to (JACOBPL) 2589
(UNKNOWN0) 843         receives (WOJCIECHS) 590        and sends to (RODAN77) 1462
(UNKNOWN0) 845                     does not trade
(UNKNOWN0) 847                     does not trade
(UNKNOWN0) 849                     does not trade
(UNKNOWN0) 850         receives (JIMMY_DURDEN) 668     and sends to (WILCZELYKO) 2105
(VAGABOOOND) 1682      receives (OMAM1234) 805         and sends to (KARTMAN7) 1295
(VAGABOOOND) 386                   does not trade
(VAGABOOOND) 55        receives (SCRABER) 1399         and sends to (MONIIALEX) 1799
(VAGABOOOND) 56                    does not trade
(VEX412) 1441                      does not trade
(VINIOLLI) 1605                    does not trade
(VINIOLLI) 1606        receives (MAJZOWNIK) 1885       and sends to (CHARLIEVEGAN) 2924
(VINIOLLI) 1607                    does not trade
(VINIOLLI) 1608                    does not trade
(VINIOLLI) 1609                    does not trade
(VINIOLLI) 1610                    does not trade
(VINIOLLI) 1611                    does not trade
(VINIOLLI) 1612        receives (MS103) 1298           and sends to (PATRYKGALKA) 772
(VORONWE) 1614                     does not trade
(VORONWE) 1615                     does not trade
(VORONWE) 1616                     does not trade
